transaction_id,customer_id,sale_amount,transaction_date
1,1051,163.4629298385173,2025-01-01
2,1092,136.0040133368435,2025-01-02
3,1014,188.13040193966654,2025-01-03
4,1071,293.60028402361525,2025-01-04
5,1060,199.0278929550226,2025-01-05
6,1020,153.37041717194595,2025-01-06
7,1082,135.252876276007,2025-01-07
8,1086,194.7440747626793,2025-01-08
9,1074,100.25192142211753,2025-01-09
10,1074,134.990357920328,2025-01-10
11,1087,277.1533825929542,2025-01-11
12,1099,,2025-01-12
13,1023,193.57939267301458,2025-01-13
14,1002,176.71676143727268,2025-01-14
15,1021,202.9254451153422,2025-01-15
16,1052,317.39984642251613,2025-01-16
17,1001,,2025-01-17
18,1087,245.48690874799084,2025-01-18
19,1029,189.87712370842243,2025-01-19
20,1037,203.044830355858,2025-01-20
21,1001,232.3581348393522,2025-01-21
22,1063,206.30474139120145,2025-01-22
23,1059,105.13115087556712,2025-01-23
24,1020,264.0270380838732,2025-01-24
25,1032,169.24331611143347,2025-01-25
26,1075,305.56588208081257,2025-01-26
27,1057,234.34242563829855,2025-01-27
28,1021,203.5486207819873,2025-01-28
29,1088,221.96635700517172,2025-01-29
30,1048,194.57510557182434,2025-01-30
31,1090,175.67836169738197,2025-01-31
32,1058,210.379913064286,2025-02-01
33,1041,244.24952335933327,2025-02-02
34,1091,176.7735125677516,2025-02-03
35,1059,168.88814175468605,2025-02-04
36,1079,182.22556795418203,2025-02-05
37,1014,247.60055469233473,2025-02-06
38,1061,272.6275123731185,2025-02-07
39,1061,218.10069559712355,2025-02-08
40,1046,229.0657067017862,2025-02-09
41,1061,168.51495713674436,2025-02-10
42,1050,243.8377324976163,2025-02-11
43,1054,227.58685052325373,2025-02-12
44,1063,,2025-02-13
45,1002,110.6164194034109,2025-02-14
46,1050,138.97149478590728,2025-02-15
47,1006,166.53986359093935,2025-02-16
48,1020,258.0968658873387,2025-02-17
49,1072,277.6429887919663,2025-02-18
50,1038,178.02410622628614,2025-02-19
51,1017,179.6042323614352,2025-02-20
52,1003,213.08115279862332,2025-02-21
53,1088,200.60732545366128,2025-02-22
54,1059,246.54670419870396,2025-02-23
55,1013,173.84059532064452,2025-02-24
56,1008,247.4571493890499,2025-02-25
57,1089,,2025-02-26
58,1052,242.6987355533928,2025-02-27
59,1001,186.44797688557287,2025-02-28
60,1083,169.3452658545811,2025-03-01
61,1091,295.61588199199855,2025-03-02
62,1059,253.2613541273459,2025-03-03
63,1070,110.39774499323926,2025-03-04
64,1043,177.66132441050462,2025-03-05
65,1007,260.2461460889287,2025-03-06
66,1046,140.1669765393239,2025-03-07
67,1034,238.53391647615555,2025-03-08
68,1077,233.35280517348957,2025-03-09
69,1080,165.04267109540413,2025-03-10
70,1035,199.5591476877096,2025-03-11
71,1049,95.49911256848603,2025-03-12
72,1003,288.5215758283359,2025-03-13
73,1001,184.54537454015392,2025-03-14
74,1005,240.19065256881294,2025-03-15
75,1053,230.69206707377123,2025-03-16
76,1003,267.8940394049994,2025-03-17
77,1053,178.33482965487198,2025-03-18
78,1092,210.19113637637335,2025-03-19
79,1062,227.95546013072638,2025-03-20
80,1017,243.62707957152398,2025-03-21
81,1089,257.7177169204462,2025-03-22
82,1043,176.13091347123395,2025-03-23
83,1033,166.78862783477888,2025-03-24
84,1073,268.00556831240857,2025-03-25
85,1061,98.14620325139305,2025-03-26
86,1099,278.5016140271336,2025-03-27
87,1013,184.8837878961846,2025-03-28
88,1094,199.77185855048518,2025-03-29
89,1047,165.88286994399232,2025-03-30
90,1014,197.59022572320936,2025-03-31
91,1071,263.55691129904574,2025-04-01
92,1077,238.54315507320197,2025-04-02
93,1086,224.63432419002027,2025-04-03
94,1061,204.4436503065872,2025-04-04
95,1039,127.71950137639587,2025-04-05
96,1084,5000.0,2025-04-06
97,1079,182.8399381684416,2025-04-07
98,1081,222.88382272144196,2025-04-08
99,1052,203.48263322594394,2025-04-09
100,1023,249.17521531792326,2025-04-10
101,1025,,2025-04-11
102,1088,,2025-04-12
103,1059,313.78806487836016,2025-04-13
104,1040,220.3113342524964,2025-04-14
105,1028,5000.0,2025-04-15
106,1014,292.9983503243465,2025-04-16
107,1044,260.0205774206699,2025-04-17
108,1064,,2025-04-18
109,1088,194.4534032185245,2025-04-19
110,1070,248.81545632405513,2025-04-20
111,1008,127.35752704638196,2025-04-21
112,1087,239.20032054570842,2025-04-22
113,1000,192.11380208729483,2025-04-23
114,1007,132.2471022241034,2025-04-24
115,1087,251.63002020089883,2025-04-25
116,1062,109.4934337501992,2025-04-26
117,1010,104.36467414678904,2025-04-27
118,1080,218.12382294026511,2025-04-28
119,1007,228.5673755163394,2025-04-29
120,1034,248.52619100066053,2025-04-30
121,1034,237.09815082647327,2025-05-01
122,1032,273.83293127148147,2025-05-02
123,1004,235.01214766812095,2025-05-03
124,1040,193.38502780287686,2025-05-04
125,1027,196.3194442104047,2025-05-05
126,1006,185.88894055063946,2025-05-06
127,1072,214.77387622115916,2025-05-07
128,1071,145.1327065716671,2025-05-08
